FantasyPlayerKey,PlayerID,Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints,AuctionValue,AuctionValuePPR
12262,12262,Jonathan Dwyer,,RB,533.1,531.9,,13.4,,1,1
13321,13321,Kealoha Pilares,,WR,533.1,531.9,,13.4,,1,1
1986,1986,Jason Avant,,WR,533.1,531.9,,13.4,,1,1
8373,8373,Brandon Tate,CIN,WR,533.1,531.9,9,13.4,,1,1
11221,11221,Tony Moeaki,,TE,537.6,536.5,,13.3,,1,1
11345,11345,Logan Paulsen,WAS,TE,537.6,536.5,9,13.3,,1,1
13486,13486,Marcus Easley,BUF,WR,537.6,536.5,10,13.3,,1,1
13661,13661,Jed Collins,,RB,537.6,536.5,,13.3,,1,1
16598,16598,Robert Herron,,WR,537.6,536.5,,13.3,,1,1
11196,11196,Tim Tebow,,QB,543.2,542.1,,13.3,,1,1
17070,17070,Darius Jennings,CLE,WR,544.3,543.2,13,13.2,,1,1
1944,1944,Santana Moss,,WR,545.5,544.3,,13.1,,1,1
2332,2332,Dante Rosario,,TE,545.5,544.3,,13.1,,1,1
10991,10991,John Conner,,RB,547.7,546.6,,13,,1,1
12343,12343,Brandon Stokley,,WR,547.7,546.6,,13,,1,1
1854,1854,Domenik Hixon,,WR,547.7,546.6,,13,,1,1
5741,5741,Robert Meachem,,WR,551.1,550,,12.8,,1,1
6276,6276,Luke McCown,NO,QB,551.1,550,5,12.8,0.9,1,1
7857,7857,Jerome Simpson,SF,WR,551.1,550,8,12.8,4.2,1,0
15479,15479,Marlon Brown,,WR,554.5,553.4,,12.6,,1,1
16081,16081,Michael Campanaro,BAL,WR,554.5,553.4,8,12.6,,1,1
16657,16657,Corey Washington,DET,WR,554.5,553.4,10,12.6,,1,1
16469,16469,Jared Abbrederis,GB,WR,557.9,556.7,4,12.5,54.2,1,0
14244,14244,Adrien Robinson,,TE,559,557.9,,12.4,,1,1
418,418,Garrett Hartley,,K,559,557.9,,12.4,,1,1
9277,9277,Chris Ogbonnaya,,RB,559,557.9,,12.4,,1,1
12649,12649,Will Tukuafu,,RB,562.4,561.2,,12.2,,1,1
14027,14027,Kevin Elliott,,WR,562.4,561.2,,12.2,,1,1
14836,14836,Junior Hemingway,,WR,562.4,561.2,,12.2,,1,1
