StadiumDetails/StadiumID,StadiumDetails/Name,StadiumDetails/City,StadiumDetails/State,StadiumDetails/Country,StadiumDetails/Capacity,StadiumDetails/PlayingSurface,StadiumDetails/GeoLat,StadiumDetails/GeoLong,GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,StadiumDetails
17,AT&T Stadium,Arlington,TX,USA,80000,Dome,32.747778,-97.092778,201610109,1,2016,1,2016-09-11T16:25:00,NYG,DAL,,,,17,,,,,,,,,,
29,University of Phoenix Stadium,Glendale,AZ,USA,63400,Dome,33.527558,-112.263036,201610101,1,2016,1,2016-09-11T20:30:00,NE,ARI,,,,29,,,,,,,,,,
19,FedEx Field,Landover,MD,USA,85000,Grass,38.907652,-76.864479,201610135,1,2016,1,2016-09-12T19:10:00,PIT,WAS,,,,19,,,,,,,,,,
37,Levi's Stadium,Santa Clara,CA,USA,68500,,37.404108,-121.970274,201610131,1,2016,1,2016-09-12T22:20:00,LA,SF,,,,37,,,,,,,,,,
1,Ralph Wilson Stadium,Orchard Park,NY,USA,73079,Artificial,42.773758,-78.786837,201610204,1,2016,2,2016-09-15T20:25:00,NYJ,BUF,,,,1,,,,,,,,,,
8,Heinz Field,Pittsburgh,PA,USA,65050,Grass,40.446751,-80.015707,201610228,1,2016,2,2016-09-18T13:00:00,CIN,PIT,,,,8,,,,,,,,,,
21,Ford Field,Detroit,MI,USA,65000,Dome,42.340021,-83.045777,201610211,1,2016,2,2016-09-18T13:00:00,TEN,DET,,,,21,,,,,,,,,,
6,FirstEnergy Stadium,Cleveland,OH,USA,71516,Artificial,41.505885,-81.699458,201610208,1,2016,2,2016-09-18T13:00:00,BAL,CLE,,,,6,,,,,,,,,,
19,FedEx Field,Landover,MD,USA,85000,Grass,38.907652,-76.864479,201610235,1,2016,2,2016-09-18T13:00:00,DAL,WAS,,,,19,,,,,,,,,,
3,MetLife Stadium,East Rutherford,NJ,USA,82500,Artificial,40.813611,-74.074444,201610223,1,2016,2,2016-09-18T13:00:00,NO,NYG,,,,3,,,,,,,,,,
26,Bank of America Stadium,Charlotte,NC,USA,73778,Grass,35.225808,-80.852861,201610205,1,2016,2,2016-09-18T13:00:00,SF,CAR,,,,26,,,,,,,,,,
